Job Title,Company/Organization,Location,Job Link
"Director, Programs and Policy (California)",Omidyar Network,"San Francisco or Sacramento, CA",https://www.linkedin.com/jobs/view/4317350885/
"Senior Research Scientist (ML, AI for Good Lab - Social Impact)",Microsoft,"Redmond, WA",https://www.linkedin.com/jobs/view/senior-research-scientist-ml-ai-for-good-lab-social-impact-at-microsoft-4332861794/?skipRedirect=true
Product Designer,One Project,Remote (Must be US based),https://oneproject.org/job/?id=7478677003
"Product Lead, Platform (Staff Product Manager)",GiveDirectly,Remote,https://job-boards.greenhouse.io/givedirectly/jobs/4576445005
Membership Development Manager,Tech Coalition,Remote,https://technologycoalition.org/careers/membership-development-manager/
Membership Development Manager - Trust and Safety,Tech Coalition,Remote (U.S.- based),https://technologycoalition.org/careers/membership-development-manager/
"Director of Knowledge, Records and Information Management",MacArthur Foundation,"Chicago, Illinois",https://www.npag.com/macarthur-dir-krim
Founding Data Engineer,Airys,"Stanford, CA",https://airtable.com/appb07M3WYRb19jEW/pagF1mz0QQPQ6QttW/form
Open Source AI Fellowship,The Alan Turing Institute,PostDoc/Fellowship/Residency,https://www.turing.ac.uk/work-turing/open-source-ai-fellowship-call-2025
"Principal, Programs (Technology Policy)",Omidyar Network,Washington DC,https://grnh.se/ig9b3d3m1us
Executive Director,Media Democracy Fund,"Remote | East Coast, U.S. Preferred",https://www.npag.com/mdf-ed
Executive Director of Digital Suppression/Women’s Rights Program,Center for Intimacy Justice,Remote,https://www.intimacyjustice.org/careers
Communications and Research Manager,"Penn Center for Media, Technology, and Democracy","Philadelphia, PA, USA",https://wd1.myworkdaysite.com/recruiting/upenn/careers-at-penn/job/Amy-Gutmann-Hall/Communications-and-Research-Manager---Penn-Center-for-Media--Technology--and-Democracy_JR00107808
Data Specialist for Administration,SEIU Healthcare PA,Pennsylvania,http://bit.ly/3ZFXljF
Part-Time Member Engagement & Data Manager (Contract),New Economy Coalition,Remote,https://airtable.com/appXHdA8iDFUxeuYh/pagQURdDW53c7lg3X/form
Senior Manager for Asia,Open Contracting Partnership,Remote,https://open-contracting-partnership.breezy.hr/p/70551a605a27-senior-manager-for-asia
Research Scholar - Youth in Tech,Stanford University,"Stanford, California, USA",https://careersearch.stanford.edu/jobs/research-scholar-youth-in-tech-28221
Berkman Klein Center Call for Applications: 2025-2026 BKC Fellowship,The Berkman Klein Center for Internet & Society at Harvard University,"Cambridge,MA",https://cyber.harvard.edu/getinvolved/fellowships/2526Fellows
ML Research Scientist on Criminal Misuse,UK Gov's AI Security Institute,UK,https://www.aisi.gov.uk/careers/apply?gh_jid=4540178101
Workstream Lead on Criminal Misuse,UK Gov's AI Security Institute,Anywhere in UK,https://www.aisi.gov.uk/careers/apply?gh_jid=4399317101
DevOps Engineer Consultant,NYU McSilver Institute for Poverty Policy and Research,New York City,https://mcsilver.nyu.edu/wp-content/uploads/2025/02/DevOps-Engineer-Consultant.pdf
