Job Title,Company/Organization,Location,Job Link
Executive Director of Digital Suppression/Women’s Rights Program,Center for Intimacy Justice,Remote,https://www.intimacyjustice.org/careers
Executive Director,Surveillance Technology Oversight Project,"New York, NY",https://www.stopspying.org/staff-openings
"Program Coordinator, East Asia Programs (Part-time)",NetFreedom Pioneers,South Korea,https://www.netfreedompioneers.org/program-coordinator-east-asia-programs-2/
Policy Associate or Manager,Global Network Initiative,"Our headquarters are in Washington, DC, but this position can be done from anywhere",https://globalnetworkinitiative.org/gni-job-opportunity-policy-associate-or-manager/
Director of Development,WITNESS,Remote,https://witness.bamboohr.com/careers/60?source=aWQ9NA%3D%3D
"Senior Researcher, Technology and Human Rights",Human Rights Watch,Global: multiple locations considered,https://job-boards.greenhouse.io/humanrightswatch/jobs/7774018002
Project Manager,Microsoft,New York City,https://us.microsoft.talentnet.community/jobs/b4a59af6-ce44-491b-a30e-24938bd42230
Technology and Human Rights Fellowship,Harvard Kennedy School Carr Center for Human Rights Policy,Remote,https://www.hks.harvard.edu/centers/carr/opportunities/fellowship-opportunities/technology-and-human-rights-fellowship
Policy and Advocacy Manager - Technology Threats and Opportunities,WITNESS,Remote,https://witness.bamboohr.com/careers/57
Associate Director - Technology Threats and Opportunities,WITNESS,"Remote, multiple countries",https://witness.bamboohr.com/careers/56
"Associate Director or Manager, Advisory Services",Article One,"New York, New York",https://articleoneadvisors.com/associate-director-advisory-services-washington-dc-usa/
Executive Director,Stop Killer Robots,Geneva,https://www.stopkillerrobots.org/news/join-our-team-executive-director/
Artificial Intelligence (AI) Technology Expert,US Department of Homeland Security,Multiple locations,https://www.usajobs.gov/job/798685200
Policy and Advocacy Lead Positions,Global Partners Digital,United Kingdom,https://apply.workable.com/global-partners-digital/j/258A14C9D6/
"Director, Information Technology Operations",Human Rights Watch,Multiple Locations,https://boards.greenhouse.io/humanrightswatch/jobs/7522848002
Full-Stack Software Engineer (GeoMatch),Stanford,"Stanford, California",https://careersearch.stanford.edu/jobs/full-stack-software-engineer-geomatch-25850
Digital Rights Fund for WANA,Social Media Exchange (SMEX),WANA,https://smex.org/digital-rights-fund/
