Job Title,Company/Organization,Location,Job Link
Android Board Support Packages (BSP) Engineer,The Calyx Institute,Remote within the United States,https://job-boards.greenhouse.io/calyxinstitute/jobs/4934856007
"Associate Director, Emerging Technology and Industry Practice",Ada Lovelace Institute,London,https://micro.green-park.co.uk/adalovelace/assistant-director-emerging-technology-industry-practice/
Member - Oversight Board,Ada Lovelace Institute,London,https://micro.green-park.co.uk/adalovelace/role-description/
Android Platform Software Developer,The Calyx Institute,Remote,https://job-boards.greenhouse.io/calyxinstitute/jobs/4858794007
Strategic Communications & Outreach Lead (Contract),Center for Online Safety and Liberty,Remote,https://c4osl.org/job/strategic-communications-outreach-lead-contract/
Executive Director of Digital Suppression/Women’s Rights Program,Center for Intimacy Justice,Remote,https://www.intimacyjustice.org/careers
Berkman Klein Center Call for Applications: 2025-2026 BKC Fellowship,The Berkman Klein Center for Internet & Society at Harvard University,"Cambridge,MA",https://cyber.harvard.edu/getinvolved/fellowships/2526Fellows
"Associate Director, Emerging Technology and Industry Practice",Ada Lovelace Institute,London,https://app.beapplied.com/apply/kefx3rvpmg?utm_source=atih
Policy Associate or Manager,Global Network Initiative,"Our headquarters are in Washington, DC, but this position can be done from anywhere",https://globalnetworkinitiative.org/gni-job-opportunity-policy-associate-or-manager/
"Senior Researcher, Technology and Human Rights",Human Rights Watch,Global: multiple locations considered,https://job-boards.greenhouse.io/humanrightswatch/jobs/7774018002
Algorithmic Justice Fellow,American Civil Liberties Union (ACLU),"Washington, D.C.",https://www.aclu.org/careers/apply/?job=7742482002&type=national
Platform Engagement Coordinator,Access Now,"Berlin, Brussels, New York, San José CR, Washington, District of Columbia",https://accessnow.bamboohr.com/careers/220
Program Associate - MENA,Access Now,"Berlin, Germany",https://accessnow.bamboohr.com/careers/221
Technology and Human Rights Fellowship,Harvard Kennedy School Carr Center for Human Rights Policy,Remote,https://www.hks.harvard.edu/centers/carr/opportunities/fellowship-opportunities/technology-and-human-rights-fellowship
Directory of Advertising Industry Advocacy,Center for Countering Digital Hate,DC,https://counterhate.com/jobs/#director-of-advertising-industry-advocacy
Senior Press Manager,Center for Countering Digital Hate,"Washington, DC",https://counterhate.com/jobs/#Press-Manager
Manager - Online Industry Transparency & Accountability (BOSE),"Australia Government, eSafety Commissioner (eSafety)","Belconnen ACT, Melbourne VIC, Pyrmont NSW",https://www.apsjobs.gov.au/s/temporary-opportunity?title=manager-online-industry-transparency-accountability-bose-&Id=a05OY0000067FEzYAM
Business Development and Marketing Associate,Helpful Places,Remote,https://www1.communitech.ca/companies/helpful-places-2/jobs/40957800-business-development-and-marketing-associate-for-social-impact-start-up-in-responsible-tech
Front End Developer,New America,"Washington, D.C.",https://www.newamerica.org/jobs/
Security Officer,Access Now,Remote,https://accessnow.bamboohr.com/careers/213
Visiting Faculty: AI & society Academic Year 2025-2026,Sciences Po,Ph.D.,https://www.sciencespo.fr/recherche/sites/sciencespo.fr.recherche/files/sciencespo-tiered-appel-candidatures-professeurs-invites-ia-societe-25-26-fr.pdf
Senior Community Safety Specialist - Arabic Speaking,Wikimedia Foundation,Remote (U.S.),https://boards.greenhouse.io/wikimedia/jobs/6014512?gh_src=3ca886b81us
Digital Transformation Internship: Global Call for 2024,United Nations Development Programme (UNDP),"New York, NY",https://jobs.undp.org/cj_view_job.cfm?cur_job_id=115502
Digital Rights Fund for WANA,Social Media Exchange (SMEX),WANA,https://smex.org/digital-rights-fund/
