Job Title,Company/Organization,Location,Job Link
Communications and Research Manager,"Penn Center for Media, Technology, and Democracy","Philadelphia, PA, USA",https://wd1.myworkdaysite.com/recruiting/upenn/careers-at-penn/job/Amy-Gutmann-Hall/Communications-and-Research-Manager---Penn-Center-for-Media--Technology--and-Democracy_JR00107808
Research Scholar - Youth in Tech,Stanford University,"Stanford, California, USA",https://careersearch.stanford.edu/jobs/research-scholar-youth-in-tech-28221
Berkman Klein Center Call for Applications: 2025-2026 BKC Fellowship,The Berkman Klein Center for Internet & Society at Harvard University,"Cambridge,MA",https://cyber.harvard.edu/getinvolved/fellowships/2526Fellows
Workstream Lead on Criminal Misuse,UK Gov's AI Security Institute,Anywhere in UK,https://www.aisi.gov.uk/careers/apply?gh_jid=4399317101
"Senior Researcher, Technology and Human Rights",Human Rights Watch,Global: multiple locations considered,https://job-boards.greenhouse.io/humanrightswatch/jobs/7774018002
Technology and Human Rights Fellowship,Harvard Kennedy School Carr Center for Human Rights Policy,Remote,https://www.hks.harvard.edu/centers/carr/opportunities/fellowship-opportunities/technology-and-human-rights-fellowship
US Programs Associate,Center for Countering Digital Hate,DC,https://counterhate.com/jobs/#us-programs-associate
Senior US Policy Associate,Center for Countering Digital Hate,DC,https://counterhate.com/jobs/#senior-us-policy-associate
Directory of Advertising Industry Advocacy,Center for Countering Digital Hate,DC,https://counterhate.com/jobs/#director-of-advertising-industry-advocacy
UK Government and Parliamentary Affairs Officer,Center for Countering Digital Hate,London,https://counterhate.com/jobs/#Parliamentary-Officer
Senior Press Manager,Center for Countering Digital Hate,"Washington, DC",https://counterhate.com/jobs/#Press-Manager
Programs Manager,Issue One,"Washington, DC",https://issueonereform.bamboohr.com/careers/79
Director of Creative Industry Engagement,Center for Countering Digital Hate,"Los Angeles, California",https://counterhate.com/jobs/#Director-Creative
"Policy Lead, Generative AI and Misinformation, Search",Google,"Washington D.C., DC, USA",https://www.google.com/about/careers/applications/jobs/results/122637665701896902
Head of Communications,Center for Countering Digital Hate,"Washington, DC",https://counterhate.com/jobs/
"Policy Enforcement Manager, YouTube Trust and Safety",Google,"Hyderabad, Telangana, India",https://www.google.com/about/careers/applications/jobs/results/91924903445308102-policy-enforcement-manager-youtube-trust-and-safety
Researcher,New York University,NYC,https://apply.interfolio.com/140966
Science Misinformation: Journalism in the Age of Truth Decay,Pulitzer Center,Global (U.S. residents and journalists around the world),https://pulitzercenter.org/grants-fellowships/opportunities-journalists/science-misinformation
