Job Title,Company/Organization,Location,Job Link
AI Risk Assessment Fellow,Common Sense Media,San Francisco,https://www.linkedin.com/jobs/view/4275244207/
"Project Manager, Social Responsibility",LEGO Group,"Billund, Denmark",https://www.lego.com/en-gb/careers/job/project-manager-social-responsibility-c3af1d303d1610021f477e37a7590000?locale=en-gb
Programs Administrator and Executive Assistant,Tech Coalition,Remote (U.S.-based),https://technologycoalition.org/careers/programs-admin/
Lantern Program Director,Tech Coalition,"Remote, must be based in United States",https://technologycoalition.org/careers/lantern-director/
Membership Development Manager,Tech Coalition,Remote,https://technologycoalition.org/careers/membership-development-manager/
Research Scholar - Youth in Tech,Stanford University,"Stanford, California, USA",https://careersearch.stanford.edu/jobs/research-scholar-youth-in-tech-28221
Berkman Klein Center Call for Applications: 2025-2026 BKC Fellowship,The Berkman Klein Center for Internet & Society at Harvard University,"Cambridge,MA",https://cyber.harvard.edu/getinvolved/fellowships/2526Fellows
Youth Squad Program Manager,ReThink Citizens,Remote,https://rethinkcitizens.org/youth-squad-program-manager/
Head of Product Marketing - Youth Trust & Safety (Instagram),Meta,"New York City, Menlo Park, San Francisco",https://www.metacareers.com/jobs/557751547178754/
"Threat Investigator, Youth Safety Team",Meta,"Menlo Park, CA, or Washington, DC",https://www.metacareers.com/jobs/1254778445832267/
Programs Manager,Issue One,"Washington, DC",https://issueonereform.bamboohr.com/careers/79
Professional Learning Consultant,PowerMyLearning,"San Francisco, CA",https://powermylearning.applicantpro.com/jobs/3500122
"Child Safety Manager, Government Affairs and Public Policy",Google,"London, UK",https://www.google.com/about/careers/applications/jobs/results/131333727996256966-government-affairs-and-public-policy/
"Program Manager, Youth Safety - EMEA",Tiktok,Dublin,https://careers.tiktok.com/position/7407525062259329331/detail
"Age Appropriateness Vertical Lead, Trust and Safety, YouTube",Google,"San Bruno, California",https://www.linkedin.com/jobs/view/3975027000/
Research Assistant,ACLU,"New York, New York",https://www.aclu.org/careers/apply/?job=7471549002&type=national
Product Policy Specialist - USDS,TikTok,NYC,https://careers.tiktok.com/position/7369354925996083506/detail
