Job Title,Company/Organization,Location,Job Link
"Project Manager, Social Responsibility",LEGO Group,"Billund, Denmark",https://www.lego.com/en-gb/careers/job/project-manager-social-responsibility-c3af1d303d1610021f477e37a7590000?locale=en-gb
Programs Administrator and Executive Assistant,Tech Coalition,Remote (U.S.-based),https://technologycoalition.org/careers/programs-admin/
Lantern Program Director,Tech Coalition,"Remote, must be based in United States",https://technologycoalition.org/careers/lantern-director/
Membership Development Manager,Tech Coalition,Remote,https://technologycoalition.org/careers/membership-development-manager/
Membership Development Manager - Trust and Safety,Tech Coalition,Remote (U.S.- based),https://technologycoalition.org/careers/membership-development-manager/
"Principal, Programs (Technology Policy)",Omidyar Network,Washington DC,https://grnh.se/ig9b3d3m1us
Chief Compliance Officer,State of Illinois,"Springfield, IL",https://illinois.jobs2web.com/job/Springfield-Chief-Compliance-Officer-%28SPSA-Opt_-1%29-IL-62702-5170/1310919300/?utm_campaign=doitrtjb
Communications and Research Manager,"Penn Center for Media, Technology, and Democracy","Philadelphia, PA, USA",https://wd1.myworkdaysite.com/recruiting/upenn/careers-at-penn/job/Amy-Gutmann-Hall/Communications-and-Research-Manager---Penn-Center-for-Media--Technology--and-Democracy_JR00107808
Senior AI/ML Technology Advisor- Online Safety,Ofcom,London,https://ofcom.wd3.myworkdayjobs.com/en-US/Ofcom_Careers/details/Senior-AI-ML-Technology-Advisor_JR2036
Senior Technical Advisor Online Safety Technology,Ofcom,London,https://ofcom.wd3.myworkdayjobs.com/en-US/Ofcom_Careers/details/Senior-Technical-Advisor_JR1628
"Research Assistant, Fairwork project",Oxford University,Oxford,https://www.oii.ox.ac.uk/people/vacancies/
Research Scholar - Youth in Tech,Stanford University,"Stanford, California, USA",https://careersearch.stanford.edu/jobs/research-scholar-youth-in-tech-28221
Berkman Klein Center Call for Applications: 2025-2026 BKC Fellowship,The Berkman Klein Center for Internet & Society at Harvard University,"Cambridge,MA",https://cyber.harvard.edu/getinvolved/fellowships/2526Fellows
Child Safety Researcher,ActiveFence,UK,https://www.activefence.com/careers/?comeet_pos=88.151&coref=1.10.s07_F14
Chief Executive Officer,Integrity Institute,USA,https://integrityinstitute.org/careers
Scientific Project Officers: AI/Data Scientist,European Centre for Algorithmic Transparency (European Commission),Seville (ES),https://algorithmic-transparency.ec.europa.eu/work-ecat_en
"Trust & Safety, Program Manager",Thumbtack,Remote,https://www.gem.com/form?formID=57e2cca6-4c37-48f7-b0c3-d70205e68bc4
Senior Evaluation Officer,eSafety Commissioner,Sydney,https://www.linkedin.com/jobs/view/4138824219/
Threat Investigator,10a Labs,Remote,https://docs.google.com/forms/d/e/1FAIpQLScq33hFNMk-movOwK2dfviKONiru-qSdITuNUtZtAsy0U6ybA/viewform
Online Safety Analyst (Research & Intelligence),Ofcom,Belfast,https://ofcom.wd3.myworkdayjobs.com/en-US/Ofcom_Careers/job/Manchester/Online-Safety-Analyst--Research---Intelligence-_JR1921-2
Youth Squad Program Manager,ReThink Citizens,Remote,https://rethinkcitizens.org/youth-squad-program-manager/
Associate General Counsel,Project Liberty,New York City,https://app.trinethire.com/companies/34219-project-liberty-llc/jobs/101769-associate-general-counsel
US Programs Associate,Center for Countering Digital Hate,DC,https://counterhate.com/jobs/#us-programs-associate
Senior US Policy Associate,Center for Countering Digital Hate,DC,https://counterhate.com/jobs/#senior-us-policy-associate
Directory of Advertising Industry Advocacy,Center for Countering Digital Hate,DC,https://counterhate.com/jobs/#director-of-advertising-industry-advocacy
"Research Scientist/Research Engineer/Security Researcher – Safeguards, Controls, & Mitigations",Aisi,London,https://boards.eu.greenhouse.io/aisi/jobs/4390343101
"Threat Investigator, Youth Safety Team",Meta,"Menlo Park, CA, or Washington, DC",https://www.metacareers.com/jobs/1254778445832267/
"Threat Investigator, Youth Safety Team",Meta,"London, UK",https://www.metacareers.com/jobs/1085238679599024/
"Research Scientist Intern, GenAI Safety (PhD)",Meta,"New York, NY",https://www.metacareers.com/jobs/1719537235254393/
"Research Scientist Intern, Gen AI LLM Safety & Explainability (PhD)",Meta,"Menlo Park, CA",https://www.metacareers.com/jobs/901069411908768/
UK Government and Parliamentary Affairs Officer,Center for Countering Digital Hate,London,https://counterhate.com/jobs/#Parliamentary-Officer
Senior Press Manager,Center for Countering Digital Hate,"Washington, DC",https://counterhate.com/jobs/#Press-Manager
Programs Manager,Issue One,"Washington, DC",https://issueonereform.bamboohr.com/careers/79
Trust & Safety Specialist,"Snap, Inc.",London,https://wd1.myworkdaysite.com/recruiting/snapchat/snap/job/London-United-Kingdom/Trust---Safety-Specialist_R0036241
"Data Scientist, Safety Systems",OpenAI,San Francisco,https://jobs.ashbyhq.com/openai/b7de8fd6-3136-483d-8e34-a4e3cd8269a1/application
Director of Creative Industry Engagement,Center for Countering Digital Hate,"Los Angeles, California",https://counterhate.com/jobs/#Director-Creative
Head of Communications,Center for Countering Digital Hate,"Washington, DC",https://counterhate.com/jobs/
Senior Community Safety Specialist - Arabic Speaking,Wikimedia Foundation,Remote (U.S.),https://boards.greenhouse.io/wikimedia/jobs/6014512?gh_src=3ca886b81us
