Job Title,Company/Organization,Location,Job Link
ERP Program Director,State of Illinois,"Chicago, IL",https://illinois.jobs2web.com/job/Springfield-ERP-Program-Director-IL-62702/1256150300/?utm_campaign=doitrtjb
Chief Compliance Officer,State of Illinois,"Springfield, IL",https://illinois.jobs2web.com/job/Springfield-Chief-Compliance-Officer-IL-62702-5170/1255293200/?utm_campaign=doitrtjb
"Associate Director, Digital Product and AI Governance",Consumer Reports,"Yonkers, NY",https://job-boards.greenhouse.io/consumerreports/jobs/4534545007
Senior AI/ML Engineer,Consumer Reports,"Yonkers, NY",https://job-boards.greenhouse.io/consumerreports/jobs/4582543007
Lead AI/ML Engineer,Consumer Reports,"Yonkers, NY",https://job-boards.greenhouse.io/consumerreports/jobs/4531209007
Executive Director,National Association for Media Literacy Education (NAMLE),Remote,https://namle.org/about/join-us-jobs/executive-director/
"Vice President, Inclusive Innovation & Analytics, Center for Inclusive Growth",Mastercard,"Purchase, NY",https://mastercard.wd1.myworkdayjobs.com/CorporateCareers/job/Purchase-New-York/Vice-President--Inclusive-Innovation--Center-for-Inclusive-Growth_R-237878
2025 Summer Internship,Ford Foundation,New York Tri-State Area,https://fordfoundation.wd1.myworkdayjobs.com/en-US/FordFoundationCareerPage/details/XMLNAME-2025-Summer-Internship_R1161
Associate General Counsel,Project Liberty,New York City,https://app.trinethire.com/companies/34219-project-liberty-llc/jobs/101769-associate-general-counsel
Technology Equity Manager,"City of South Bend, Indiana","South Bend, Indiana",https://recruiting.myapps.paychex.com/appone/MainInfoReq.asp?R_ID=6580999&B_ID=91&fid=1&Adid=0&ssbgcolor=FFFFFF&SearchScreenID=2301&CountryID=3&LanguageID=2
Business Council for Ethics of AI Coordinator,UNESCO,Paris,https://careers.unesco.org/job/Paris-Business-Council-for-Ethics-of-AI-Coordinator/810066802/
Chief Digital Officer,U.S. National Archives and Records Administration,"College Park, MD",https://www.usajobs.gov/job/825217500
"Chief (Computational Analytics and Geospatial Intelligence Unit), (P-5), Fixed Term, Data & Analytics",UNICEF,Florence,https://jobs.unicef.org/en-us/job/576977/chief-computational-analytics-and-geospatial-intelligence-unit-p5-fixed-term-data-analytics-dapm-florence-italy-128966
IT Supervisor - Output & Operations,State of Illinois,"Springfield, IL",https://illinois.jobs2web.com/job/Springfield-Output-Services-Support-Supervisor-%28PSA-Option-3%29-IL-62702-5170/1242598400/?utm_campaign=doitrtjb
TTS: Senior Advisor for Technology,Technology Transformation Services (U.S. Gov),"Remote, United States",https://tts.gsa.gov/join/tts-senior-advisor-for-technology.html
Associate - Tech & Digital Transformation,Tony Blair Institute for Global Change,London,https://tbinstitute.wd3.myworkdayjobs.com/en-US/TBI/job/United-Kingdom/Associate---Tech---Digital-Transformation_JR001353
Director of Development,Fast Forward,San Francisco,https://job-boards.greenhouse.io/fastforward/jobs/4595435007
Algorithmic Justice Fellow,American Civil Liberties Union (ACLU),"Washington, D.C.",https://www.aclu.org/careers/apply/?job=7742482002&type=national
Senior Software Engineer,Netherlands Red Cross,The Hague,https://werkenvoorhet.rodekruis.nl/vacatures/vacature-332658
"Graduate Assistant, Public Interest Technology Initiative",Barnard College,"New York, New York",https://barnard.wd1.myworkdayjobs.com/en-US/Staff/job/New-York-City-NY/Graduate-Assistant--Public-Interest-Technology-Initiative_JR4331?source=LinkedIn
Account Manager,Ameelio,Remote,https://ameelio.breezy.hr/p/16f626d60e2f-account-manager
Paragon Fellowship,Paragon Policy Fellowship,Remote,https://airtable.com/appD9YuZjLzgT3p58/pagnaXfOC5ByK0hoY/form
The McCourt School Tech & Public Policy Spring 2024 Visiting Fellows Application,Georgetown University,"Washington, D.C.",https://docs.google.com/forms/d/e/1FAIpQLSdwoe6vpkcy96TvW5GAml2rh1pKc8lNePVVRWnZMS4DRWWoew/viewform
Data Scientist,United States Government,Remote,https://www.usajobs.gov/job/817349400
Director of Digital Transformation,State of Illinois,"Springfield, IL",https://illinois.jobs2web.com/job/Springfield-Director-of-Digital-Transformation-%28SENIOR-PUBLIC-SERVICE-ADMINISTRATOR%2C-OPT_-3%29-IL-62702-5170/1231008200/?utm_campaign=doitrtjb
"Community Manager, Public Technology Leadership Collaborative",Data & Society Research Institute,Work From Home [Remote],https://boards.greenhouse.io/datasocietyresearchinstitute/jobs/7717038002
Employee Relations Director,State of Illinois,"Springfield, Illinois",https://illinois.jobs2web.com/job/Springfield-Employee-Relations-Director-%28Senior-Public-Service-Administrator%2C-Option_-1%29-IL-62702-5170/1224157600/?utm_campaign=doitrtjb
Principal Software Engineer,Ameelio,Remote,https://ameelio.breezy.hr/p/272d7d9e67e5-principal-software-engineer-ruby-on-rails
Staff Solutions Engineer,Code for America,"San Francisco, CA",https://codeforamerica.org/jobs/posting/?gh_jid=6293220
"Spring 2025 Paid Graduate Intern, Democracy and Technology, Policy & Government Affairs",ACLU,Washington DC,https://www.aclu.org/careers/internships/apply/?job=7662370002&type=internships
Resident Experience Director,New Jersey State Office of Innovation,Remote,https://innovation.nj.gov/join/resident-experience-director/
Programs Manager,Issue One,"Washington, DC",https://issueonereform.bamboohr.com/careers/79
Business Development and Marketing Associate,Helpful Places,Remote,https://www1.communitech.ca/companies/helpful-places-2/jobs/40957800-business-development-and-marketing-associate-for-social-impact-start-up-in-responsible-tech
Director of Design,Code for America,Remote,https://codeforamerica.org/jobs/posting/?gh_jid=6188407
"Development Specialist, Break Through Tech (NYC)",Cornell Tech,"New York, New York",https://cornell.wd1.myworkdayjobs.com/en-US/CornellCareerPage/job/New-York-City-Cornell-Tech/Development-Associate--Break-Through-Tech--NYC-_WDR-00047407?locations=17e315f647854a2a89a2cd062afdc359
"Assistant Director, Graduate Technical Programs Career Advisor, Cornell Tech (NYC)",Cornell Tech,"New York, New York",https://cornell.wd1.myworkdayjobs.com/en-US/CornellCareerPage/job/New-York-City-Cornell-Tech/Assistant-Director--Graduate-Technical-Programs-Career-Advisor--Cornell-Tech---NYC-_WDR-00047685?locations=17e315f647854a2a89a2cd062afdc359
Associate Director of Program Compliance,Code for America,"San Francisco, California",https://codeforamerica.org/jobs/posting/?gh_jid=6150005
Event Intern,Aspen Institute,"Washington, D.C.",https://aspeninstitute.hrmdirect.com/employment/job-opening.php?req=3095473&req_loc=210846&&&nohd#job
Chief Data Officer,State of Illinois,"Chicago, IL",https://illinois.jobs2web.com/job/Chicago-Chief-Data-Officer-%28SENIOR-PUBLIC-SERVICE-ADMINISTRATOR%2C-OPT-3%29-IL-60661/1203086600/?utm_campaign=doitrtjb
Information Technology Specialist (Cyber),Department of Energy,"Anchorage, Alaska",https://www.usajobs.gov/job/783519300
IT Specialist (Cybersecurity),Department of Transportation,"Washington, DC",https://www.usajobs.gov/job/777756800
Digital Forensics Engineer,Central Intelligence Agency,"Washington, DC",https://www.usajobs.gov/job/759370300
Attorney (Tech and Cyber),Central Intelligence Agency,"Washington, DC",https://www.usajobs.gov/job/757210700
Program Analyst (Cyber Operations),US Department of the Airforce,"Vandenberg, California",https://www.usajobs.gov/job/752250000
"Senior Software Engineer, ASML",Harvard Law School Applied Social Media Lab (ASML),"Cambridge, Massachusetts",https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25240&siteid=5341&Areq=66278BR#jobDetails=2009210_5341
Director of IT Procurement,State of Illinois,"Springfield, IL",https://illinois.jobs2web.com/job/Springfield-Information-Technology-Procurement-Office-Administrative-Officer-%28Senior-Public-Service-Administrato-IL-62702-5170/1195088600/?utm_campaign=doitrtjb
"Senior Program Officer, AI Innovations",Bill & Melinda Gates Foundation,"Seattle, Washington",https://www.linkedin.com/jobs/view/3937803959/?refId=r3JlLq15SzQRK4UQU7s1Hw%3D%3D&trackingId=r3JlLq15SzQRK4UQU7s1Hw%3D%3D
Health & Safety Administrator,State of Illinois,"Springfield, IL",https://illinois.jobs2web.com/job/Springfield-Health-&-Safety-Administrator-%28PUBLIC-SERVICE-ADMINISTRATOR%2C-OPT_-1%29-IL-62702-5170/1191973600/?utm_campaign=doitrtjb
Senior Product Manager,iNaturalist,Remote,https://app.beapplied.com/apply/gotyyjtuxa?utm_source=atih
Product Manager,Recidiviz,"New York City, New York (Remote), San Francisco, California (Remote)",https://boards.greenhouse.io/recidiviz/jobs/4381470006
Head of Engineering,iNaturalist,Remote-USA,https://app.beapplied.com/apply/gotyyjtuxa?utm_source=atih
Civic Innovation Lab Manager,BetaNYC,"New York, NY",https://beta.nyc/2024/06/14/hiring-a-civic-innovation-lab-manager/
Project Lead i4J,University of Arizona,"Tucson, Arizona",https://arizona.csod.com/ux/ats/careersite/4/home/requisition/18958?c=arizona
Data Scientist Volunteer,Redo.io,Remote,https://solveforgood.org/proj/56/
"VP, Entrepreneur Development",State of New York,"New York, NY",https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=28f01757-5a4d-4afc-a308-b236c08f3222&ccId=19000101_000001&jobId=493588&lang=en_US&source=LI
Senior Director of Cybersecurity Programs,Aspen Institute,"Washington, DC",https://aspeninstitute.hrmdirect.com/employment/view.php?req=3090751
"Director, Committee on Information Technology",City of San Francisco,San Francisco,https://careers.sf.gov/role/?id=3743990004250836
Congressional AI (Artificial Intelligence) Intern,U.S. House of Representatives,Washington DC,https://resumebank.domewatch.us/jobs/3567
"Senior Technical Manager, Africa",United Nations Foundation,Remote,https://unitednationsfoundation.applytojob.com/apply/jobs/details/nNRbpIo7Kb?department=Employment%20Opportunity&
Communications and Technologies Project Manager,City of San Francisco,"San Francisco, CA",https://careers.sf.gov/role/?id=3743990004362036
Junior Software Engineer/Programmer,New York County District Attorney's Office (DANY),NYC,https://fa-elzs-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/2929/?utm_medium=jobshare
Technical Director,U.S. Department of Homeland Security,"Arlington, VA",https://www.usajobs.gov/job/790233700
"Associate Director, PiTech Programs and Partnerships",Cornell University,New York City,https://cornell.wd1.myworkdayjobs.com/en-US/CornellCareerPage/job/New-York-City-Cornell-Tech/Associate-Director--PiTech-Programs-and-Partnerships_WDR-00045050
Global ICT4D Advisor,Catholic Relief Services,Remote (central African Republic),https://eipn.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/3001322/?utm_medium=jobshare
Senior Software Engineer (Full-stack),Kaizen Labs,"New York, NY",https://jobs.ashbyhq.com/kaizenlabs/661a5024-9b13-46d0-a221-b35b570ab588
"Program Director, Innovation Fellows Initiative, Cornell Tech (NYC)",Cornell University,"New York, NY",https://cornell.wd1.myworkdayjobs.com/CornellCareerPage/job/New-York-City-Cornell-Tech/Program-Director--Innovation-Fellows-Initiative--Cornell-Tech--NYC-_WDR-00043955
Innovation Manager,The Knowledge House,"Atlanta, GA",https://j.brt.mv/PortalViewRequirement.do?reqGK=27729123
Senior Manager of Partner Programs,The Knowledge House,"Stamford, CT",https://j.brt.mv/PortalViewRequirement.do?reqGK=27726985
Deputy Director of Network Services,New York County District Attorney’s Office (DANY),New York City,https://fa-elzs-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/2857/?sortBy=TITLES_ASC
Cyber Project Specialist,City of New York,New York City,https://cityjobs.nyc.gov/job/cyber-project-specialist-in-nyc-all-boros-jid-14624
Senior Consultant - Privacy Consultant,NYSTEC,"Albany, NY",https://nystec.hrmdirect.com/employment/job-opening.php?req=2880280&&&nohd#job
Research Engineer (AI Red Team),Info-communications Media Development Authority of Singapore,Singapore,https://www.careers.hrp.gov.sg/sap/bc/ui5_ui5/sap/ZGERCFA004/index.html#/JobDescription/14197387/31421e83-cc31-1ede-ab81-06bfd90e926c
Director of Data Services,Metropolitan Area Planning Council (MAPC),"Boston, MA",https://www.governmentjobs.com/careers/mapc/jobs/4333782/director-of-data-services?pagetype=jobOpportunitiesJobs
