Job Title,Company/Organization,Location,Job Link
Lantern Program Director,Tech Coalition,"Remote, must be based in United States",https://technologycoalition.org/careers/lantern-director/
Membership Development Manager,Tech Coalition,Remote,https://technologycoalition.org/careers/membership-development-manager/
Membership Development Manager - Trust and Safety,Tech Coalition,Remote (U.S.- based),https://technologycoalition.org/careers/membership-development-manager/
Executive Director of Digital Suppression/Women’s Rights Program,Center for Intimacy Justice,Remote,https://www.intimacyjustice.org/careers
Research Scholar - Youth in Tech,Stanford University,"Stanford, California, USA",https://careersearch.stanford.edu/jobs/research-scholar-youth-in-tech-28221
Berkman Klein Center Call for Applications: 2025-2026 BKC Fellowship,The Berkman Klein Center for Internet & Society at Harvard University,"Cambridge,MA",https://cyber.harvard.edu/getinvolved/fellowships/2526Fellows
UK Government and Parliamentary Affairs Officer,Center for Countering Digital Hate,London,https://counterhate.com/jobs/#Parliamentary-Officer
Senior Press Manager,Center for Countering Digital Hate,"Washington, DC",https://counterhate.com/jobs/#Press-Manager
Trust & Safety Specialist,"Snap, Inc.",London,https://wd1.myworkdaysite.com/recruiting/snapchat/snap/job/London-United-Kingdom/Trust---Safety-Specialist_R0036241
Head of Communications,Center for Countering Digital Hate,"Washington, DC",https://counterhate.com/jobs/
Content Moderation Specialist,Patreon,"Porto, Portugal",https://jobs.ashbyhq.com/patreon/16f74814-2943-497b-9a7b-1da2da54ef53
