Job Title,Company/Organization,Location,Job Link
"Program Manager, Player Inclusion",Electronic Arts (EA),"Redwood City, California",https://jobs.ea.com/en_US/careers/JobDetail/Program-Manager-Player-Inclusion/209913
Executive Director,Media Democracy Fund,"Remote | East Coast, U.S. Preferred",https://www.npag.com/mdf-ed
Executive Director of Digital Suppression/Women’s Rights Program,Center for Intimacy Justice,Remote,https://www.intimacyjustice.org/careers
"Director, Emerging Technologies for Multiracial Democracy Initiative",Multiracial Democracy Project at GW Law School,Remote,https://www.gwu.jobs/postings/120975
Berkman Klein Center Call for Applications: 2025-2026 BKC Fellowship,The Berkman Klein Center for Internet & Society at Harvard University,"Cambridge,MA",https://cyber.harvard.edu/getinvolved/fellowships/2526Fellows
Technology Equity Manager,"City of South Bend, Indiana","South Bend, Indiana",https://recruiting.myapps.paychex.com/appone/MainInfoReq.asp?R_ID=6580999&B_ID=91&fid=1&Adid=0&ssbgcolor=FFFFFF&SearchScreenID=2301&CountryID=3&LanguageID=2
"Assistant Professor, Associate Professor, or Full Professor in AI Governance",Northeastern,"Boston, Massachusetts",https://northeastern.wd1.myworkdayjobs.com/careers/job/Boston-MA-Main-Campus/Assistant-Professor--Associate-Professor--or-Full-Professor-in-AI-Governance_R129440
Employee Relations Director,State of Illinois,"Springfield, Illinois",https://illinois.jobs2web.com/job/Springfield-Employee-Relations-Director-%28Senior-Public-Service-Administrator%2C-Option_-1%29-IL-62702-5170/1224157600/?utm_campaign=doitrtjb
"Student Success Director, Break Through Tech (NYC)",Cornell Tech,"New York, NY",https://cornell.wd1.myworkdayjobs.com/en-US/CornellCareerPage/job/New-York-City-Cornell-Tech/Student-Success-Director--Break-Through-Tech--NYC-_WDR-00048481-1?locations=17e315f647854a2a89a2cd062afdc359
Presidential Innovation Fellowship (PIF),GSA/TTS,Remote,https://presidentialinnovationfellows.gov/apply/
Event Intern,Aspen Institute,"Washington, D.C.",https://aspeninstitute.hrmdirect.com/employment/job-opening.php?req=3095473&req_loc=210846&&&nohd#job
Software Developer,Canary (workwithcanary.com),Remote,https://workwithcanary.com/join-the-team/
Director of Engineering,Canary (workwithcanary.com),Remote,https://workwithcanary.com/join-the-team/
"Senior Advisor - Gender, Women, and Democracy",National Democratic Institute,Washington DC,https://recruiting.ultipro.com/NAT1051NDEM/JobBoard/79dbb2b6-6a4f-4628-a401-e37889b022fc/OpportunityDetail?opportunityId=27363489-b4af-4e77-bace-aa60684bee48
"Research Assistant, AI & Gender (Intern)",Eticas,Remote (South America),https://zurl.to/aHXD?source=CareerSite
"Senior Director, Program Strategy",Pivotal Ventures,"Seattle, WA or Washington DC or US-Based Remote",https://www.pivotalventures.org/careers?gh_jid=5137640004
Innovation Manager,The Knowledge House,"Atlanta, GA",https://j.brt.mv/PortalViewRequirement.do?reqGK=27729123
AI Reporting Grants,Pulitzer Center,Remote (global south apps encouraged),https://pulitzercenter.org/grants-fellowships/opportunities-journalists/ai-reporting-grants
