Job Title,Company/Organization,Location,Job Link
Programs Administrator and Executive Assistant,Tech Coalition,Remote (U.S.-based),https://technologycoalition.org/careers/programs-admin/
Membership Development Manager - Trust and Safety,Tech Coalition,Remote (U.S.- based),https://technologycoalition.org/careers/membership-development-manager/
Executive Director of Digital Suppression/Women’s Rights Program,Center for Intimacy Justice,Remote,https://www.intimacyjustice.org/careers
Research Scholar - Youth in Tech,Stanford University,"Stanford, California, USA",https://careersearch.stanford.edu/jobs/research-scholar-youth-in-tech-28221
Berkman Klein Center Call for Applications: 2025-2026 BKC Fellowship,The Berkman Klein Center for Internet & Society at Harvard University,"Cambridge,MA",https://cyber.harvard.edu/getinvolved/fellowships/2526Fellows
Chief Executive Officer,Integrity Institute,USA,https://integrityinstitute.org/careers
Account Executive,Brellium,New York,https://app.dover.com/apply/Brellium/4bb50a32-5b96-4fa7-97d1-e321b0966aaa?rs=84419816
Associate General Counsel,Project Liberty,New York City,https://app.trinethire.com/companies/34219-project-liberty-llc/jobs/101769-associate-general-counsel
"Senior Researcher, Technology and Human Rights",Human Rights Watch,Global: multiple locations considered,https://job-boards.greenhouse.io/humanrightswatch/jobs/7774018002
"Senior Software Engineer, Public Spaces Incubator",New_ Public,Remote (U.S. or Canada),https://newpublic.org/jobs/software-engineer-psi
Science Misinformation: Journalism in the Age of Truth Decay,Pulitzer Center,Global (U.S. residents and journalists around the world),https://pulitzercenter.org/grants-fellowships/opportunities-journalists/science-misinformation
