Job Title,Company/Organization,Location,Job Link
Product Designer,One Project,Remote (Must be US based),https://oneproject.org/job/?id=7478677003
"Research and Events Internship, AI and Emerging Technology Initiative",The Brookings Institution,Internship,https://interns-brookings.icims.com/jobs/3746/spring-2026%2c-research-and-events-internship%2c-ai-and-emerging-technology%2c-executive-office-%28job-id-2025-3746%29/job
"Full Stack Developer, Course Design",Onja Madagascar,Toamasina Madagascar,https://onja.org/careers/full-stack-developer-course-design
"Back-End Developer, Course Design",Onja Madagascar,Toamasina,https://onja.org/careers/back-end-developer-course-design
Member - Oversight Board,Ada Lovelace Institute,London,https://micro.green-park.co.uk/adalovelace/role-description/
Chief Operating Officer,SaferAI,"Paris, London",https://www.safer-ai.org/chief-operating-officer
Membership Development Manager - Trust and Safety,Tech Coalition,Remote (U.S.- based),https://technologycoalition.org/careers/membership-development-manager/
Strategic Communications & Outreach Lead (Contract),Center for Online Safety and Liberty,Remote,https://c4osl.org/job/strategic-communications-outreach-lead-contract/
Executive Director of Digital Suppression/Women’s Rights Program,Center for Intimacy Justice,Remote,https://www.intimacyjustice.org/careers
"Senior Manager, Partnerships",Kode With Klossy,New York,https://apptrkr.com/6183457
Executive Director,Surveillance Technology Oversight Project,"New York, NY",https://www.stopspying.org/staff-openings
Chief Executive Officer,Integrity Institute,USA,https://integrityinstitute.org/careers
Development Manager,Creative Commons,Remote,https://creativecommons.org/mission/opportunities/development-manager/
Director of Development,WITNESS,Remote,https://witness.bamboohr.com/careers/60?source=aWQ9NA%3D%3D
Director of Operations and Projects,Climate Change AI,Remote (within United States),https://www.climatechange.ai/hiring/director_operations_projects
Development Director,Climate Change AI,Remote (within United States),https://www.climatechange.ai/hiring/development_director
Director of Development,Fast Forward,San Francisco,https://job-boards.greenhouse.io/fastforward/jobs/4595435007
Account Manager,Ameelio,Remote,https://ameelio.breezy.hr/p/16f626d60e2f-account-manager
"Specialist, eLearning",StriveTogether,United States,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=0c85aaec-7475-446c-b841-81470a74e0aa&ccId=19000101_000001&lang=en_US&jobId=9201072190286_1&&source=EN
Executive Director,Housing Navigator,Cambridge,https://talent-profile.dsgco.com/search/v2/21428
Algorithmic Auditing Association and Certification Volunteer,The International Association of Algorithmic Auditors (IAAA),Volunteer,https://iaaa-algorithmicauditors.org/join-iaaa-revolution
"Senior Director, Global Internet & Technology Initiatives",Internews,"Washington, DC",https://gfmd.info/careers/senior-director-global-internet-technology-initiatives/
Head of Engineering,FAR AI,"Berkeley, CA",https://far.ai/post/2023-12-engineering-manager/
Research Manager,MATS,London:Berkeley,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/California---San-Francisco/Sr-Director--Responsible-AI-Testing--Evaluation--and-Alignment_JR260388
Data Scientist Volunteer,Redo.io,Remote,https://solveforgood.org/proj/56/
Foundation Executive Director,Eticas,Executive/Director,https://zurl.to/ymIZ?source=CareerSite
Fundraising & Grants Manager,Eticas,Remote,https://zurl.to/eH0n?source=CareerSite
"Associate or Manager, Programs",Foundation for American Innovation (FAI),"Washington, DC.",https://www.thefai.org/posts/now-hiring-associate-or-manager-programs
"Director, Global Programs",Aspen Institute,Washington DC,https://aspeninstitute.hrmdirect.com/employment/job-opening.php?req=3020202&req_loc=102733&&#job
Foundation Executive Director,Eticas,Remote,https://zurl.to/ymIZ?source=CareerSite
Fundraising & Grants Manager,Eticas,Remote,https://eticas.zohorecruit.com/jobs/Careers/754104000000747011/Fundraising-Grants-Manager?source=CareerSite
GFCE Foundation Board Candidates,Global Forum on Cyber Expertise,Remote / Europe,https://thegfce.org/vacancy/gfce-foundation-board-candidates/
"Program Director, National Security & Technology - Georgetown University Law Center",Georgetown University,Washington DC,https://georgetown.wd1.myworkdayjobs.com/en-US/Georgetown_Admin_Careers/job/Program-Director--National-Security---Technology---Georgetown-University-Law-Center_JR17060
Academic-year Externships,Center for Democracy & Technology (CDT),"Washington, D.C.",https://cdt.org/job/academic-year-externships/
Internships/Externships,Surveillance Technology Oversight Project (S.T.O.P.),Remote (U.S.),https://www.stopspying.org/internships
